,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1969,1.35,0.87,-0.48,-0.96,0.55,1.34,0.0,-0.67,-1.54,0.47,0.45,0.65,0.67
1969,2.5,0.72,0.79,0.35,0.36,0.85,1.3,-0.46,-1.31,0.3,1.15,1.29,1.38
1970,1.02,0.33,0.92,1.77,-0.53,1.19,0.54,-0.99,-1.1,0.2,0.37,0.25,0.32
1970,0.84,0.05,0.13,-0.82,0.09,1.26,-0.27,-1.14,-1.32,0.07,-0.03,-0.08,-0.07
1970,1.28,-0.03,-0.75,1.22,-0.69,0.96,-0.75,-0.08,-0.31,0.42,-0.68,0.14,-0.15
1970,0.7,0.39,-1.42,0.54,0.0,0.91,-1.44,0.18,-0.31,-1.65,-0.47,0.01,-0.18
1970,1.26,-0.92,-1.76,-0.99,0.28,0.3,-1.58,-0.25,0.32,-0.84,-0.16,-0.58,-0.41
1970,0.98,0.05,-0.63,0.19,-0.11,0.65,-0.49,-0.02,-0.77,-0.72,-0.2,-0.01,-0.1
1970,1.53,-0.32,-0.86,-0.46,0.12,0.48,-0.83,-0.51,-0.27,-0.63,-0.23,-0.03,-0.14
1970,1.03,0.59,-1.14,0.14,0.33,0.82,-1.2,0.5,0.23,-0.96,-0.14,0.83,0.54
1970,0.26,-0.59,-1.8,-0.19,0.77,0.7,-1.0,-1.42,-0.58,-0.97,0.23,-1.47,-0.9
1970,-0.13,0.54,-0.04,-0.32,0.47,0.57,-0.29,0.83,0.22,-0.56,0.3,0.56,0.64
1970,-0.53,1.57,0.19,0.06,0.09,0.63,-0.37,-0.68,-1.9,-0.06,-0.07,0.24,0.14
1970,-0.07,1.39,1.06,2.38,1.4,0.71,0.59,0.4,0.08,-0.38,1.42,1.0,1.27
1971,-1.44,0.44,-0.4,1.11,0.08,1.59,-0.97,-0.25,0.33,-1.02,-0.3,-0.58,-0.55
1971,-0.31,0.54,-0.99,-0.63,0.95,1.19,-1.09,-0.48,0.0,-1.37,-0.15,-0.42,-0.35
1971,0.26,0.18,0.09,1.54,0.48,0.96,0.15,-0.69,-0.81,-1.47,0.58,-0.39,-0.07
1971,1.38,0.23,0.52,0.82,0.42,0.97,0.71,-0.74,-0.44,-1.02,0.83,0.17,0.45
1971,0.63,0.74,0.37,0.9,0.92,0.9,0.59,-1.0,-1.23,-0.45,1.09,-0.06,0.57
1971,0.25,0.6,1.1,0.41,-0.56,0.57,0.94,-1.29,-1.91,-0.36,0.01,-0.32,-0.19
1971,0.17,-0.7,0.32,-0.46,-0.78,1.28,0.45,-0.97,-1.16,-0.06,-0.21,-0.82,-0.61
1971,1.09,-0.55,0.8,-0.68,-0.69,0.54,0.99,-0.62,-1.1,-0.3,-0.06,-0.12,-0.12
1971,0.45,0.29,0.17,-0.6,0.0,0.91,0.41,-0.04,0.92,-0.25,0.3,0.57,0.55
1971,-0.47,1.84,-0.92,-0.32,-0.68,0.43,-0.56,1.22,0.26,-0.71,-0.85,1.24,0.76
1971,-0.34,1.25,-0.59,0.65,-0.91,0.04,-0.54,1.41,0.99,-0.88,-0.79,0.95,0.35
1971,-0.97,0.07,0.11,-0.23,-0.87,1.12,-0.52,1.29,1.45,-1.02,-0.71,0.06,-0.22
1972,-1.67,0.14,-0.28,-1.02,-1.37,0.84,-1.01,0.98,1.23,-0.84,-1.4,-0.22,-0.65
