,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
114,1977.07.02,7/2/1977,1977,,USA,M,21.0,July,1977 July,False
115,1977.05.16,5/16/1977,1977,,AUSTRALIA,M,,May,1977 May,False
116,1976.01.02,1/2/1976,1976,Unprovoked,NEW ZEALAND,M,,January,1976 January,True
117,1975.07.15,7/15/1975,1975,Unprovoked,USA,F,14.0,July,1975 July,False
118,1975.06.15,6/15/1975,1975,Unprovoked,USA,M,27.0,June,1975 June,False
119,1975.05.25,5/25/1975,1975,Unprovoked,USA,M,17.0,May,1975 May,False
120,1974.02.00.a,,1974,,SOUTH AFRICA,,,,1974 nan,False
121,1973.09.29,9/29/1973,1973,,SOUTH AFRICA,M,,September,1973 September,True
122,1970.01.00,1/1/1970,1970,Unprovoked,NEW GUINEA,M,15.0,January,1970 January,False
123,1970.00.00.g,,1970,Unprovoked,SPAIN,M,,,1970 nan,False
124,1969.08.22,8/22/1969,1969,Provoked,USA,M,28.0,August,1969 August,False
125,1968.10.29,10/29/1968,1968,Provoked,BAHAMAS,M,,October,1968 October,False
126,1967.03.20,3/20/1967,1967,Provoked,NEW ZEALAND,M,21.0,March,1967 March,False
127,1966.10.30,10/30/1966,1966,Unprovoked,NEW GUINEA,F,13.0,October,1966 October,True
128,1966.08.00.a,8/1/1966,1966,Unprovoked,USA,M,8.0,August,1966 August,False
129,1964.09.07,9/7/1964,1964,Unprovoked,TAIWAN,M,20.0,September,1964 September,False
130,1964.06.02,6/2/1964,1964,,SOUTH AFRICA,M,40.0,June,1964 June,False
131,1963.11.16.R,11/16/1963,1963,Unprovoked,ITALY,M,28.0,November,1963 November,False
132,1963.08.00,8/1/1963,1963,Unprovoked,DOMINICAN REPUBLIC,M,,August,1963 August,True
133,1963.07.28,7/28/1963,1963,Unprovoked,FEDERATED STATES OF MICRONESIA,M,26.0,July,1963 July,False
134,1962.10.06,10/6/1962,1962,,USA,F,43.0,October,1962 October,False
135,1962.08.30.a,8/30/1962,1962,Provoked,NEW GUINEA,M,49.0,August,1962 August,False
136,1962.01.27,1/27/1962,1962,Unprovoked,NEW ZEALAND,M,18.0,January,1962 January,False
137,1962.00.00.b,,1962,Unprovoked,INDONESIA,,,,1962 nan,True
138,1961.04.14,4/14/1961,1961,Unprovoked,AUSTRALIA,M,40.0,April,1961 April,False
139,1991.06.07.b,6/7/1991,1991,Unprovoked,USA,M,31.0,June,1991 June,False
140,2021.03.25.b,3/25/2021,2021,Unprovoked,USA,F,16.0,March,2021 March,False
141,2021.03.02,3/2/2021,2021,Unprovoked,NEW CALEDONIA,M,16.0,March,2021 March,False
142,2021.02.28,2/28/2021,2021,Unprovoked,NEW CALEDONIA,M,57.0,February,2021 February,True
143,2021.01.22.b,1/22/2021,2021,,USA,,,January,2021 January,False
144,2020.08.28,8/28/2020,2020,Unprovoked,USA,M,,August,2020 August,False
145,2020.01.05,1/5/2020,2020,Unprovoked,AUSTRALIA,M,57.0,January,2020 January,True
146,2019.10.05.b,10/5/2019,2019,Unprovoked,AUSTRALIA,M,29.0,October,2019 October,False
147,2019.06.10,6/10/2019,2019,Unprovoked,USA,M,19.0,June,2019 June,False
148,2019.05.14.b,5/14/2019,2019,Unprovoked,USA,M,,May,2019 May,False
149,2019.01.08,1/8/2019,2019,Unprovoked,USA,M,19.0,January,2019 January,False
150,2018.10.23.b,10/23/2018,2018,Unprovoked,USA,M,29.0,October,2018 October,False
