,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
2278,2014.07.16,7/16/2014,2014,Unprovoked,USA,M,61.0,July,2014 July,False
2279,2013.08.26,8/26/2013,2013,Provoked,FRANCE,M,50.0,August,2013 August,False
2280,2013.07.09,7/7/2013,2013,,SPAIN,M,48.0,July,2013 July,False
2281,2013.04.14,4/14/2013,2013,Unprovoked,SOUTH AFRICA,M,,April,2013 April,False
2282,2012.05.09,5/9/2012,2012,Unprovoked,USA,F,47.0,May,2012 May,False
2283,2011.08.01,8/1/2011,2011,Unprovoked,SEYCHELLES,M,36.0,August,2011 August,True
2284,2011.07.22,7/22/2011,2011,Unprovoked,SOUTH AFRICA,M,29.0,July,2011 July,False
2285,2010.09.13,9/13/2010,2010,Unprovoked,AUSTRALIA,M,15.0,September,2010 September,False
2286,2010.08.18,8/18/2010,2010,Unprovoked,USA,M,10.0,August,2010 August,False
2287,2010.07.16.a,7/16/2010,2010,Unprovoked,USA,M,,July,2010 July,False
2288,2010.04.04,4/4/2010,2010,Unprovoked,EGYPT,M,24.0,April,2010 April,False
2289,2010.01.30,1/31/2010,2010,Unprovoked,BRAZIL,M,29.0,January,2010 January,False
2290,2010.01.05,1/5/2010,2010,Unprovoked,SOUTH AFRICA,M,,January,2010 January,False
2291,2009.08.10,8/10/2009,2009,Unprovoked,USA,M,26.0,August,2009 August,False
2292,2009.07.07,7/7/2009,2009,Unprovoked,SOUTH AFRICA,M,37.0,July,2009 July,False
2293,2009.06.14.R,6/14/2009,2009,Provoked,VIETNAM,M,,June,2009 June,False
2294,2009.05.31,5/31/2009,2009,Provoked,TAIWAN,M,46.0,May,2009 May,False
2295,2008.11.06,11/6/2008,2008,Unprovoked,PHILIPPINES,M,39.0,November,2008 November,True
2296,2008.07.24.b,7/24/2008,2008,Unprovoked,USA,M,9.0,July,2008 July,False
2297,2008.06.26.R,6/26/2008,2008,Unprovoked,SOUTH AFRICA,M,,June,2008 June,False
2298,2008.06.26.b,6/26/2008,2008,Unprovoked,USA,M,29.0,June,2008 June,False
2299,2008.06.07,6/7/2008,2008,Unprovoked,USA,M,40.0,June,2008 June,False
2300,2008.05.14,5/14/2008,2008,Unprovoked,FIJI,M,28.0,May,2008 May,True
2301,2007.11.08,11/8/2007,2007,Unprovoked,AUSTRALIA,M,,November,2007 November,False
2302,2007.09.22.a,9/22/2007,2007,Unprovoked,USA,F,,September,2007 September,False
2303,2007.08.20,8/20/2007,2007,Provoked,USA,M,,August,2007 August,False
2304,2007.04.26,4/26/2007,2007,Unprovoked,AUSTRALIA,F,13.0,April,2007 April,False
2305,2007.01.23,1/23/2007,2007,Unprovoked,AUSTRALIA,M,41.0,January,2007 January,False
2306,2006.07.29.a,7/29/2006,2006,Unprovoked,USA,M,15.0,July,2006 July,False
2307,2006.07.12,7/12/2006,2006,Unprovoked,USA,F,21.0,July,2006 July,False
2308,2005.12.24,12/24/2005,2005,Unprovoked,USA,M,30.0,December,2005 December,False
2309,2005.11.27,11/27/2005,2005,Unprovoked,USA,M,23.0,November,2005 November,False
2310,2005.11.24,11/24/2005,2005,Unprovoked,NEW CALEDONIA,,,November,2005 November,False
2311,2004.08.20,8/20/2004,2004,Unprovoked,USA,M,,August,2004 August,False
2312,2004.08.06,8/6/2004,2004,Unprovoked,USA,M,47.0,August,2004 August,False
2313,2004.07.28,7/28/2004,2004,Unprovoked,USA,F,28.0,July,2004 July,False
2314,2003.10.14,10/14/2003,2003,Unprovoked,USA,M,19.0,October,2003 October,False
2315,2003.10.05.d,10/5/2003,2003,Unprovoked,USA,M,18.0,October,2003 October,False
2316,2003.04.19,4/19/2003,2003,Unprovoked,USA,M,11.0,April,2003 April,False
2317,2003.01.17,1/17/2003,2003,,SOUTH AFRICA,M,14.0,January,2003 January,False
2318,2002.11.28.a,11/28/2002,2002,Unprovoked,USA,M,48.0,November,2002 November,False
2319,2002.09.30,9/30/2002,2002,Unprovoked,USA,M,47.0,September,2002 September,False
2320,2002.08.17,8/17/2002,2002,Unprovoked,USA,F,29.0,August,2002 August,False
2321,2002.08.14,8/14/2002,2002,Unprovoked,USA,M,27.0,August,2002 August,False
2322,2002.06.13.R2,6/13/2002,2002,Unprovoked,NEW GUINEA,,,June,2002 June,False
2323,2002.05.31.a,5/31/2002,2002,Unprovoked,USA,M,16.0,May,2002 May,False
2324,2002.05.22.a,5/22/2002,2002,Unprovoked,USA,M,35.0,May,2002 May,False
2325,2001.05.00,5/1/2001,2001,Unprovoked,FIJI,M,,May,2001 May,True
2326,2001.02.26,2/26/2001,2001,,AUSTRALIA,,,February,2001 February,False
2327,2001.02.11,2/11/2001,2001,,MALAYSIA,F,,February,2001 February,False
2328,2000.10.18,10/18/2000,2000,Unprovoked,USA,F,56.0,October,2000 October,False
2329,2000.01.28.R,1/28/2000,2000,,REUNION,M,,January,2000 January,True
2330,1998.11.14,11/14/1998,1998,Unprovoked,USA,M,14.0,November,1998 November,False
2331,1998.10.01.a,10/1/1998,1998,Unprovoked,USA,M,28.0,October,1998 October,False
2332,1998.01.28.R,1/28/1998,1998,,AUSTRALIA,M,31.0,January,1998 January,False
2333,1997.02.03,2/3/1997,1997,,AUSTRALIA,F,49.0,February,1997 February,False
2334,1995.09.30.b,9/30/1995,1995,Unprovoked,USA,M,14.0,September,1995 September,False
2335,1995.00.00.c,1/1/1995,1995,,USA,M,,January,1995 January,False
2336,1994.10.08,10/9/1994,1994,Provoked,USA,F,9.0,October,1994 October,False
2337,1993.11.28,11/28/1993,1993,Unprovoked,USA,M,30.0,November,1993 November,False
2338,1992.03.08.c,3/8/1992,1992,Unprovoked,JAPAN,M,41.0,March,1992 March,True
2339,1992.02.19,2/19/1992,1992,Unprovoked,USA,M,,February,1992 February,True
2340,1990.11.28,11/28/1990,1990,Unprovoked,AUSTRALIA,M,26.0,November,1990 November,False
2341,1990.10.25,10/25/1990,1990,Unprovoked,AUSTRALIA,M,,October,1990 October,False
2342,1990.04.09,4/9/1990,1990,Unprovoked,AUSTRALIA,M,31.0,April,1990 April,False
2343,1989.09.09.a,9/9/1989,1989,Unprovoked,USA,M,31.0,September,1989 September,False
2344,1988.10.00,10/1/1988,1988,Unprovoked,USA,F,23.0,October,1988 October,False
2345,1988.09.13.a,9/13/1988,1988,Unprovoked,USA,M,38.0,September,1988 September,True
2346,1988.08.22.a,8/22/1988,1988,Unprovoked,ITALY,M,16.0,August,1988 August,False
2347,1988.05.10,5/10/1988,1988,Unprovoked,USA,M,31.0,May,1988 May,False
2348,1987.07.00,7/1/1987,1987,Unprovoked,BAHAMAS,M,,July,1987 July,False
2349,1987.04.19,4/19/1987,1987,,SOUTH AFRICA,M,,April,1987 April,False
2350,1985.01.00.a,1/1/1985,1985,Provoked,SOUTH AFRICA,M,20.0,January,1985 January,False
2351,1983.12.30,12/30/1983,1983,,GREECE,M,36.0,December,1983 December,False
2352,1980.12.30,12/30/1980,1980,Unprovoked,SOUTH AFRICA,M,25.0,December,1980 December,False
2353,1980.03.28,3/28/1980,1980,Unprovoked,BRAZIL,M,,March,1980 March,False
2354,1980.01.15,1/15/1980,1980,Provoked,SOUTH AFRICA,M,29.0,January,1980 January,False
2355,1978.08.01.R,8/1/1978,1978,Unprovoked,USA,M,27.0,August,1978 August,False
2356,1978.06.21.a,6/21/1978,1978,Unprovoked,USA,M,17.0,June,1978 June,False
2357,1978.02.28,2/28/1978,1978,Unprovoked,SOUTH AFRICA,,,February,1978 February,False
2358,1977.08.31,8/31/1977,1977,Unprovoked,AUSTRALIA,M,17.0,August,1977 August,False
2359,1977.02.00,2/1/1977,1977,Unprovoked,NEW CALEDONIA,,,February,1977 February,False
2360,1976.11.25,11/25/1976,1976,Unprovoked,USA,M,19.0,November,1976 November,False
2361,1976.08.26,8/26/1976,1976,Unprovoked,USA,M,23.0,August,1976 August,False
2362,1976.01.08,1/8/1976,1976,Unprovoked,USA,M,25.0,January,1976 January,False
2363,1975.12.06,12/6/1975,1975,Unprovoked,USA,M,27.0,December,1975 December,False
2364,1974.09.02.a,9/2/1974,1974,Unprovoked,USA,M,48.0,September,1974 September,False
2365,1974.08.16.c,8/16/1974,1974,Unprovoked,HONG KONG,M,,August,1974 August,True
2366,1971.07.19,7/19/1971,1971,Unprovoked,USA,M,,July,1971 July,False
2367,1970.00.00.d,,1970,Unprovoked,IRAQ,F,28.0,,1970 nan,False
2368,1969.02.00,2/1/1969,1969,,AUSTRALIA,M,52.0,February,1969 February,False
2369,1969.01.27,1/27/1969,1969,Unprovoked,AUSTRALIA,M,21.0,January,1969 January,False
2370,1968.12.02,12/2/1968,1968,Unprovoked,SOUTH AFRICA,M,28.0,December,1968 December,False
2371,1968.11.06,11/6/1968,1968,,SOUTH AFRICA,M,22.0,November,1968 November,False
2372,1968.04.07,4/7/1968,1968,Provoked,AUSTRALIA,M,47.0,April,1968 April,False
2373,1968.02.20,2/20/1968,1968,Unprovoked,AUSTRALIA,F,14.0,February,1968 February,False
2374,1966.06.11,6/11/1966,1966,Provoked,USA,M,18.0,June,1966 June,False
2375,1966.02.27,2/27/1966,1966,Unprovoked,AUSTRALIA,M,13.0,February,1966 February,False
2376,1965.10.21,10/21/1965,1965,Unprovoked,NO COUNTRY REPORTED,M,39.0,October,1965 October,False
2377,1964.08.03,8/3/1964,1964,Unprovoked,JAPAN,M,12.0,August,1964 August,False
2378,1964.06.29.a,6/29/1964,1964,,BERMUDA,,,June,1964 June,True
2379,1964.05.30,5/30/1964,1964,Unprovoked,PANAMA,M,47.0,May,1964 May,False
2380,1964.03.05,3/5/1964,1964,Unprovoked,USA,M,38.0,March,1964 March,False
2381,1963.12.08,12/8/1963,1963,Unprovoked,AUSTRALIA,M,23.0,December,1963 December,False
2382,1963.11.30.b,11/30/1963,1963,Unprovoked,NEW ZEALAND,M,20.0,November,1963 November,False
2383,1963.04.12,4/12/1963,1963,Unprovoked,USA,M,15.0,April,1963 April,False
2384,1962.07.19,7/19/1962,1962,Provoked,USA,M,19.0,July,1962 July,False
2385,1962.05.12,5/12/1962,1962,,USA,,,May,1962 May,True
2386,1962.01.14.a,1/14/1962,1962,Unprovoked,AUSTRALIA,M,19.0,January,1962 January,False
2387,1961.10.09,10/9/1961,1961,,USA,M,45.0,October,1961 October,False
2388,1961.06.06.R,6/6/1961,1961,,USA,M,,June,1961 June,False
2389,2021.04.20,4/20/2021,2021,Unprovoked,USA,F,57.0,April,2021 April,False
2390,2021.01.09,1/9/2021,2021,Unprovoked,ST KITTS AND NEVIS,F,26.0,January,2021 January,False
2391,2020.10.31,10/31/2020,2020,Unprovoked,USA,M,17.0,October,2020 October,False
2392,2020.08.14,8/14/2020,2020,Unprovoked,AUSTRALIA,F,35.0,August,2020 August,False
2393,2020.07.19,7/19/2020,2020,Unprovoked,USA,F,12.0,July,2020 July,False
2394,2020.05.08,5/8/2020,2020,Unprovoked,AUSTRALIA,M,,May,2020 May,False
2395,2020.04.06.b,4/6/2020,2020,Unprovoked,AUSTRALIA,M,23.0,April,2020 April,True
2396,2020.01.17,1/17/2020,2020,Unprovoked,AUSTRALIA,M,59.0,January,2020 January,False
2397,2019.06.30,6/30/2019,2019,Unprovoked,USA,M,18.0,June,2019 June,False
2398,2019.02.14,2/14/2019,2019,Unprovoked,BRAZIL,M,31.0,February,2019 February,False
2399,2018.07.18.b,7/18/2018,2018,Unprovoked,USA,M,13.0,July,2018 July,False
2400,2018.07.11,7/11/2018,2018,Unprovoked,USA,M,14.0,July,2018 July,False
2401,2018.04.28.b,4/28/2018,2018,Unprovoked,COSTA RICA,M,30.0,April,2018 April,False
2402,2018.01.13,1/13/2018,2018,Unprovoked,AUSTRALIA,M,28.0,January,2018 January,False
2403,2017.08.23,8/23/2017,2017,Unprovoked,USA,M,69.0,August,2017 August,False
2404,2017.05.03,5/3/2017,2017,,USA,F,18.0,May,2017 May,False
2405,2017.01.22,1/22/2017,2017,Unprovoked,USA,M,15.0,January,2017 January,False
2406,2016.12.24,12/24/2016,2016,Unprovoked,AUSTRALIA,F,,December,2016 December,False
2407,2016.12.14,12/14/2016,2016,Unprovoked,AUSTRALIA,M,61.0,December,2016 December,False
2408,2016.12.11.b,12/11/2016,2016,Unprovoked,FRENCH POLYNESIA,M,45.0,December,2016 December,False
2409,2016.10.21,10/21/2016,2016,Unprovoked,USA,M,36.0,October,2016 October,False
2410,2016.09.18.b,9/18/2016,2016,Unprovoked,USA,M,36.0,September,2016 September,False
2411,2016.04.23,4/23/2016,2016,Unprovoked,USA,M,15.0,April,2016 April,False
2412,2015.10.09.a,10/9/2015,2015,Unprovoked,USA,M,25.0,October,2015 October,False
2413,2015.09.18,9/18/2015,2015,Unprovoked,USA,M,,September,2015 September,False
2414,2015.07.19,7/19/2015,2015,Unprovoked,SOUTH AFRICA,M,34.0,July,2015 July,False
2415,2015.06.24.a,6/24/2015,2015,,AUSTRALIA,F,37.0,June,2015 June,False
2416,2015.05.29.a,5/29/2015,2015,Unprovoked,USA,F,19.0,May,2015 May,False
2417,2015.03.29,3/29/2015,2015,,ITALY,M,43.0,March,2015 March,False
2418,2015.03.16,3/16/2015,2015,Unprovoked,FRENCH POLYNESIA,M,9.0,March,2015 March,False
2419,2015.03.10,3/10/2015,2015,Provoked,MEXICO,M,36.0,March,2015 March,False
2420,2014.12.15,12/15/2014,2014,Unprovoked,AUSTRALIA,M,17.0,December,2014 December,True
2421,2014.10.31,10/31/2014,2014,Unprovoked,USA,F,34.0,October,2014 October,False
2422,2014.09.02,9/2/2014,2014,Provoked,USA,M,52.0,September,2014 September,False
2423,2014.07.05.a,7/5/2014,2014,Unprovoked,USA,M,,July,2014 July,False
2424,2013.12.10,12/10/2013,2013,Unprovoked,USA,M,30.0,December,2013 December,False
2425,2013.11.07.b,11/7/2013,2013,Unprovoked,USA,M,16.0,November,2013 November,False
2426,2013.10.24,10/24/2013,2013,Unprovoked,AUSTRALIA,M,41.0,October,2013 October,False
2427,2013.08.18,8/18/2013,2013,Unprovoked,USA,M,16.0,August,2013 August,False
2428,2013.06.06.a,6/6/2013,2013,Unprovoked,AUSTRALIA,M,,June,2013 June,False
2429,2012.12.19,12/19/2012,2012,Unprovoked,AUSTRALIA,M,32.0,December,2012 December,False
2430,2012.10.19,10/19/2012,2012,Unprovoked,USA,F,35.0,October,2012 October,False
2431,2012.07.14,7/14/2012,2012,Unprovoked,AUSTRALIA,M,24.0,July,2012 July,True
2432,2012.06.22.a,6/22/2012,2012,Unprovoked,USA,M,12.0,June,2012 June,False
2433,2012.01.02,1/2/2012,2012,Unprovoked,AUSTRALIA,M,34.0,January,2012 January,False
2434,2011.09.16,9/16/2011,2011,Unprovoked,USA,M,25.0,September,2011 September,False
2435,2011.09.11.a,9/11/2011,2011,Unprovoked,NEW GUINEA,M,30.0,September,2011 September,False
2436,2011.08.16.a,8/16/2011,2011,Unprovoked,SEYCHELLES,M,30.0,August,2011 August,True
2437,2011.06.19.b,6/19/2011,2011,Unprovoked,TURKS & CAICOS,M,35.0,June,2011 June,False
2438,2011.03.21.a,3/21/2011,2011,Unprovoked,FIJI,M,30.0,March,2011 March,False
2439,2011.01.26,1/26/2011,2011,Unprovoked,BAHAMAS,M,55.0,January,2011 January,False
2440,2010.10.02.b,10/2/2010,2010,Unprovoked,BAHAMAS,M,,October,2010 October,False
2441,2010.08.07.b,8/7/2010,2010,Unprovoked,USA,M,25.0,August,2010 August,False
2442,2010.06.25.a,6/25/2010,2010,Unprovoked,USA,F,13.0,June,2010 June,False
2443,2010.02.15,2/15/2010,2010,Unprovoked,FIJI,M,19.0,February,2010 February,True
2444,2010.02.13,2/13/2010,2010,Unprovoked,AUSTRALIA,F,60.0,February,2010 February,False
2445,2009.03.20,3/20/2009,2009,Unprovoked,AUSTRALIA,M,17.0,March,2009 March,False
2446,2009.03.01.b,3/1/2009,2009,,NEW ZEALAND,M,,March,2009 March,False
2447,2009.01.24.c,1/24/2009,2009,,NEW ZEALAND,,,January,2009 January,False
2448,2009.01.06,1/6/2009,2009,Unprovoked,NEW ZEALAND,M,49.0,January,2009 January,False
2449,2008.08.27,8/27/2008,2008,Unprovoked,USA,M,26.0,August,2008 August,False
2450,2007.08.15,8/15/2007,2007,Unprovoked,USA,M,20.0,August,2007 August,False
2451,2007.07.19.b,7/19/2007,2007,Unprovoked,USA,M,36.0,July,2007 July,False
2452,2007.04.09,4/9/2007,2007,Unprovoked,NEW CALEDONIA,M,26.0,April,2007 April,False
2453,2007.01.25.a,1/25/2007,2007,,USA,,,January,2007 January,False
2454,2006.11.11,11/11/2006,2006,Unprovoked,USA,M,29.0,November,2006 November,False
2455,2006.10.16,10/16/2006,2006,Unprovoked,USA,M,15.0,October,2006 October,False
2456,2006.08.20.a,8/20/2006,2006,Unprovoked,REUNION,M,34.0,August,2006 August,True
2457,2006.07.08.a,7/8/2006,2006,Unprovoked,USA,M,13.0,July,2006 July,False
2458,2006.03.15,3/15/2006,2006,Unprovoked,AUSTRALIA,M,15.0,March,2006 March,False
2459,2005.11.02.b,11/2/2005,2005,Unprovoked,USA,M,25.0,November,2005 November,False
2460,2005.08.01,8/1/2005,2005,,SEYCHELLES,M,,August,2005 August,False
2461,2005.06.02,6/2/2005,2005,Unprovoked,USA,M,6.0,June,2005 June,False
2462,2005.05.28,5/28/2005,2005,Unprovoked,USA,M,33.0,May,2005 May,False
2463,2005.01.14,1/14/2005,2005,Provoked,AUSTRALIA,,,January,2005 January,False
2464,2004.12.16,12/16/2004,2004,Unprovoked,AUSTRALIA,M,18.0,December,2004 December,True
2465,2004.08.00,8/1/2004,2004,,SOUTH AFRICA,,,August,2004 August,False
2466,2004.07.31,7/31/2004,2004,Unprovoked,USA,F,20.0,July,2004 July,False
2467,2004.05.28,5/28/2004,2004,Unprovoked,USA,M,44.0,May,2004 May,False
2468,2003.12.13.b,12/13/2003,2003,Unprovoked,USA,M,13.0,December,2003 December,False
2469,2002.12.20,12/20/2002,2002,,AUSTRALIA,M,11.0,December,2002 December,False
2470,2002.11.00.a,11/1/2002,2002,Unprovoked,FRENCH POLYNESIA,M,52.0,November,2002 November,False
2471,2002.08.28,8/28/2002,2002,Unprovoked,USA,M,16.0,August,2002 August,False
2472,2002.05.21.R,5/21/2002,2002,Unprovoked,COSTA RICA,M,,May,2002 May,False
2473,2002.03.24,3/24/2002,2002,Unprovoked,BRAZIL,M,16.0,March,2002 March,True
2474,2002.03.15.a,3/15/2002,2002,Unprovoked,USA,M,31.0,March,2002 March,False
2475,2001.09.30.b,9/30/2001,2001,Unprovoked,MEXICO,M,26.0,September,2001 September,False
2476,2001.08.19.a,8/19/2001,2001,Unprovoked,USA,F,17.0,August,2001 August,False
2477,2001.08.03,8/3/2001,2001,,ITALY,,,August,2001 August,False
2478,2001.07.06.a,7/6/2001,2001,Unprovoked,USA,M,8.0,July,2001 July,False
2479,2001.05.08,5/8/2001,2001,Unprovoked,SOUTH AFRICA,M,26.0,May,2001 May,False
2480,2001.04.11.d,4/11/2001,2001,Unprovoked,USA,M,19.0,April,2001 April,False
2481,2001.03.00,3/1/2001,2001,,CARIBBEAN SEA,,,March,2001 March,True
2482,2000.08.13,8/13/2000,2000,Unprovoked,USA,M,27.0,August,2000 August,False
2483,2000.07.04.b,7/4/2000,2000,Unprovoked,USA,F,20.0,July,2000 July,False
2484,1999.12.14,12/14/1999,1999,,USA,M,,December,1999 December,False
2485,1997.09.09,9/9/1997,1997,Unprovoked,USA,M,12.0,September,1997 September,False
2486,1997.07.17,7/17/1997,1997,Unprovoked,BRAZIL,M,,July,1997 July,False
2487,1997.06.02,6/2/1997,1997,Unprovoked,USA,M,33.0,June,1997 June,False
2488,1996.12.00.a,12/1/1996,1996,Unprovoked,NEW CALEDONIA,F,,December,1996 December,False
2489,1996.11.18,11/18/1996,1996,Unprovoked,USA,M,26.0,November,1996 November,False
2490,1996.08.11,8/11/1996,1996,Unprovoked,USA,M,21.0,August,1996 August,False
2491,1996.07.21,7/21/1996,1996,Unprovoked,USA,M,46.0,July,1996 July,False
2492,1996.04.28.b,4/28/1996,1996,Unprovoked,USA,M,,April,1996 April,False
2493,1995.07.06,7/6/1995,1995,Unprovoked,USA,M,34.0,July,1995 July,False
2494,1995.07.03,7/3/1995,1995,Provoked,USA,F,32.0,July,1995 July,False
2495,1994.02.27,2/27/1994,1994,Unprovoked,SOUTH AFRICA,M,,February,1994 February,False
2496,1993.10.30,10/30/1993,1993,Unprovoked,USA,M,26.0,October,1993 October,False
2497,1993.10.00,10/1/1993,1993,Unprovoked,USA,,,October,1993 October,False
2498,1993.08.21,8/21/1993,1993,Unprovoked,BAHAMAS,M,51.0,August,1993 August,False
2499,1993.03.14,3/14/1993,1993,Unprovoked,USA,M,35.0,March,1993 March,False
2500,1992.07.08.a,7/8/1992,1992,Unprovoked,BRAZIL,M,,July,1992 July,False
2501,1991.04.16.b,4/16/1991,1991,Provoked,USA,,,April,1991 April,False
2502,1990.09.05,9/5/1990,1990,,USA,M,44.0,September,1990 September,False
2503,1990.07.22,7/22/1990,1990,Unprovoked,USA,F,53.0,July,1990 July,False
2504,1990.06.23,6/23/1990,1990,Unprovoked,BAHAMAS,M,38.0,June,1990 June,False
2505,1989.10.11,10/11/1989,1989,Unprovoked,USA,M,12.0,October,1989 October,False
2506,1989.08.22.a,8/22/1989,1989,Unprovoked,SOUTH AFRICA,M,21.0,August,1989 August,False
2507,1989.07.27,7/27/1989,1969,,BERMUDA,M,35.0,July,1969 July,False
2508,1989.06.17,6/17/1989,1989,Unprovoked,USA,M,45.0,June,1989 June,False
2509,1989.01.08,1/8/1989,1989,Unprovoked,USA,M,,January,1989 January,True
2510,1988.11.08,11/8/1988,1988,,AUSTRALIA,M,17.0,November,1988 November,True
2511,1988.02.14,2/14/1988,1988,Unprovoked,SOUTH AFRICA,M,20.0,February,1988 February,False
2512,1987.10.06,10/6/1987,1987,,DOMINICAN REPUBLIC,,,October,1987 October,True
2513,1985.08.20,8/20/1985,1985,,USA,M,11.0,August,1985 August,False
2514,1985.01.17,1/17/1985,1985,Unprovoked,SOUTH AFRICA,M,18.0,January,1985 January,False
2515,1984.10.21,10/21/1984,1984,Unprovoked,USA,F,23.0,October,1984 October,False
2516,1984.09.30.a,9/30/1984,1984,Unprovoked,USA,M,,September,1984 September,False
2517,1984.03.01,3/1/1984,1984,Unprovoked,AUSTRALIA,,,March,1984 March,False
2518,1984.02.12,2/12/1984,1984,,SOUTH AFRICA,,,February,1984 February,False
2519,1983.08.06,8/6/1983,1983,,USA,,,August,1983 August,False
2520,1982.03.00,3/1/1982,1982,Unprovoked,NEW CALEDONIA,M,,March,1982 March,False
2521,1981.08.24.b,8/24/1981,1981,Provoked,USA,M,19.0,August,1981 August,False
2522,1981.07.20,7/20/1981,1981,Unprovoked,USA,F,16.0,July,1981 July,False
2523,1981.05.10,5/10/1981,1981,Unprovoked,SOUTH AFRICA,M,19.0,May,1981 May,False
2524,1981.02.16,2/16/1981,1981,Unprovoked,AUSTRALIA,M,,February,1981 February,False
2525,1980.10.17,10/17/1980,1980,Unprovoked,USA,M,19.0,October,1980 October,False
2526,1979.09.14,9/14/1979,1979,Unprovoked,AUSTRALIA,M,18.0,September,1979 September,False
2527,1978.09.02.R,9/2/1978,1978,Unprovoked,AUSTRALIA,M,34.0,September,1978 September,False
2528,1977.06.06,6/6/1977,1977,Unprovoked,USA,M,25.0,June,1977 June,False
2529,1976.06.01,6/1/1976,1976,,AUSTRALIA,F,,June,1976 June,False
2530,1976.03.12.a,3/12/1976,1976,,SOUTH AFRICA,,,March,1976 March,False
2531,1976.01.13,1/13/1976,1976,Provoked,SOUTH AFRICA,,,January,1976 January,False
2532,1976.01.11,1/11/1976,1976,Provoked,SOUTH AFRICA,,,January,1976 January,False
2533,1975.06.23.a,6/23/1975,1975,Unprovoked,USA,F,15.0,June,1975 June,False
2534,1975.04.05,4/5/1975,1975,Unprovoked,SOUTH AFRICA,M,,April,1975 April,False
2535,1974.02.00.b,2/1/1974,1974,,SOUTH AFRICA,,,February,1974 February,False
2536,1972.12.08,12/8/1972,1972,Provoked,AUSTRALIA,,24.0,December,1972 December,False
2537,1972.10.10.R,10/10/1972,1972,Unprovoked,NEW ZEALAND,M,17.0,October,1972 October,False
2538,1970.03.31,3/31/1970,1970,,USA,M,,March,1970 March,False
2539,1970.01.23.a,1/23/1970,1970,Unprovoked,MOZAMBIQUE,M,10.0,January,1970 January,False
2540,1969.11.30,11/30/1969,1969,Unprovoked,AUSTRALIA,M,15.0,November,1969 November,False
2541,1968.10.10,10/10/1968,1968,,PHILIPPINES,,,October,1968 October,False
2542,1968.04.20,4/20/1968,1968,Unprovoked,USA,M,10.0,April,1968 April,False
2543,1968.04.15,4/15/1968,1968,Unprovoked,AUSTRALIA,M,21.0,April,1968 April,False
2544,1967.11.15,11/15/1967,1967,Provoked,FIJI,M,21.0,November,1967 November,False
2545,1967.03.12,3/12/1967,1967,Provoked,AUSTRALIA,M,36.0,March,1967 March,False
2546,1966.03.20,3/20/1966,1966,Provoked,AUSTRALIA,,,March,1966 March,False
2547,1964.01.18,1/18/1964,1964,Unprovoked,AUSTRALIA,M,,January,1964 January,False
2548,1963.12.22.b,12/22/1963,1963,,ATLANTIC OCEAN,F,,December,1963 December,False
2549,1962.10.00,10/1/1962,1962,Unprovoked,PANAMA,M,1.0,October,1962 October,True
2550,1962.02.15,2/15/1962,1962,Unprovoked,AUSTRALIA,M,,February,1962 February,False
2551,1961.09.24.a,9/24/1961,1961,Provoked,TANZANIA,M,42.0,September,1961 September,False
2552,1961.07.00.a,7/1/1961,1961,Provoked,PANAMA,M,10.0,July,1961 July,True
2553,2021.03.26,3/26/2021,2021,Unprovoked,FRENCH POLYNESIA,M,10.0,March,2021 March,False
2554,2021.02.02.b,2/2/2021,2021,,AUSTRALIA,M,17.0,February,2021 February,False
2555,2021.01.13,1/13/2021,2021,Unprovoked,AUSTRALIA,M,54.0,January,2021 January,False
2556,2020.10.09,10/9/2020,2020,Unprovoked,AUSTRALIA,M,52.0,October,2020 October,True
2557,2020.10.07,10/7/2020,2020,Unprovoked,USA,M,31.0,October,2020 October,False
2558,2020.07.23.b,7/23/2020,2020,Unprovoked,USA,M,23.0,July,2020 July,False
2559,2020.06.22,6/22/2020,2020,Unprovoked,USA,M,7.0,June,2020 June,False
2560,2019.11.30.b,11/30/2019,2019,Unprovoked,USA,M,9.0,November,2019 November,False
2561,2019.08.03.c,8/3/2019,2019,Unprovoked,USA,F,21.0,August,2019 August,False
2562,2019.07.29.b,7/29/2019,2019,Unprovoked,USA,M,49.0,July,2019 July,False
2563,2018.12.09.b,12/9/2018,2018,Unprovoked,NEW ZEALAND,M,50.0,December,2018 December,False
2564,2018.11.24,11/24/2018,2018,Unprovoked,USA,M,48.0,November,2018 November,False
2565,2018.10.08,10/8/2018,2018,Provoked,AUSTRALIA,M,55.0,October,2018 October,False
2566,2018.06.00,6/1/2018,2018,Unprovoked,EGYPT,M,,June,2018 June,False
2567,2018.04.28.a,4/28/2018,2018,Unprovoked,AUSTRALIA,M,,April,2018 April,False
2568,2017.11.04,11/4/2017,2017,Unprovoked,CUBA,M,22.0,November,2017 November,True
2569,2016.09.26,9/26/2016,2016,Unprovoked,AUSTRALIA,M,17.0,September,2016 September,False
2570,2016.09.17.a,9/17/2016,2016,Unprovoked,AUSTRALIA,M,,September,2016 September,False
2571,2016.04.07.a,4/7/2016,2016,,USA,M,,April,2016 April,False
2572,2016.03.02,3/2/2016,2016,Unprovoked,BRAZIL,M,41.0,March,2016 March,False
2573,2016.02.22,2/22/2016,2016,Unprovoked,NEW CALEDONIA,M,21.0,February,2016 February,False
2574,2016.01.25,1/25/2016,2016,Unprovoked,USA,F,15.0,January,2016 January,False
