,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
83,2016.10.21,10/21/2016,2016,Unprovoked,USA,M,36.0,October,2016 October,False,3.5,7
84,2016.10.10,10/10/2016,2016,Unprovoked,USA,M,29.0,October,2016 October,False,3.5,7
85,2016.10.01,10/1/2016,2016,Unprovoked,USA,M,32.0,October,2016 October,False,3.5,7
86,2016.05.15,5/15/2016,2016,Provoked,USA,F,23.0,May,2016 May,False,1.36,9
87,2016.05.03,5/3/2016,2016,Unprovoked,USA,M,59.0,May,2016 May,False,1.36,9
88,2016.05.29.b,5/29/2016,2016,Unprovoked,USA,F,52.0,May,2016 May,False,1.36,9
89,2016.05.00,5/1/2016,2016,Unprovoked,USA,F,33.0,May,2016 May,False,1.36,9
90,2016.05.21.b,5/21/2016,2016,Unprovoked,USA,F,22.0,May,2016 May,False,1.36,9
91,2016.05.29.a,5/29/2016,2016,Unprovoked,USA,M,13.0,May,2016 May,False,1.36,9
92,2016.05.22,5/22/2016,2016,Unprovoked,USA,F,57.0,May,2016 May,False,1.36,9
93,2016.05.21.a,5/21/2016,2016,Unprovoked,USA,F,11.0,May,2016 May,False,1.36,9
94,2016.05.18,5/18/2016,2016,Unprovoked,USA,M,48.0,May,2016 May,False,1.36,9
95,2015.07.26.b,7/26/2015,2015,Unprovoked,USA,M,25.0,July,2015 July,False,2.85,7
96,2015.07.01,7/1/2015,2015,Unprovoked,USA,M,68.0,July,2015 July,False,2.85,7
97,2015.07.08,7/8/2015,2015,,USA,M,39.0,July,2015 July,False,2.85,7
98,2015.07.26.a,7/26/2015,2015,,USA,F,35.0,July,2015 July,False,2.85,7
99,2015.07.04.a,7/4/2015,2015,Unprovoked,USA,M,32.0,July,2015 July,False,2.85,7
100,2015.07.10,7/10/2015,2015,Unprovoked,USA,M,38.0,July,2015 July,False,2.85,7
101,2015.07.23.b,7/23/2015,2015,Provoked,USA,M,31.0,July,2015 July,False,2.85,7
102,2015.06.14.b,6/14/2015,2015,Unprovoked,USA,M,16.0,June,2015 June,False,0.81,14
103,2015.06.14.a,6/14/2015,2015,Unprovoked,USA,F,12.0,June,2015 June,False,0.81,14
104,2015.06.30.a,6/30/2015,2015,Unprovoked,USA,M,12.0,June,2015 June,False,0.81,14
105,2015.06.11,6/11/2015,2015,Unprovoked,USA,F,13.0,June,2015 June,False,0.81,14
106,2015.06.26.a,6/26/2015,2015,Unprovoked,USA,M,43.0,June,2015 June,False,0.81,14
107,2015.06.23,6/23/2015,2015,Unprovoked,USA,M,9.0,June,2015 June,False,0.81,14
108,2015.06.13,6/13/2015,2015,Unprovoked,USA,F,,June,2015 June,False,0.81,14
109,2015.06.07,6/7/2015,2015,Unprovoked,USA,M,11.0,June,2015 June,False,0.81,14
110,2015.06.25,6/25/2015,2015,Unprovoked,USA,M,47.0,June,2015 June,False,0.81,14
111,2015.06.24.b,6/24/2015,2015,Unprovoked,USA,M,6.0,June,2015 June,False,0.81,14
112,2015.06.17,6/17/2015,2015,Unprovoked,USA,M,10.0,June,2015 June,False,0.81,14
113,2015.06.05,6/5/2015,2015,Unprovoked,USA,F,17.0,June,2015 June,False,0.81,14
114,2015.06.26.c,6/26/2015,2015,,USA,F,,June,2015 June,False,0.81,14
115,2015.06.27.b,6/27/2015,2015,Unprovoked,USA,M,18.0,June,2015 June,False,0.81,14
116,2014.10.14,10/14/2014,2014,Unprovoked,USA,F,7.0,October,2014 October,False,3.36,13
117,2014.10.20,10/20/2014,2014,Unprovoked,USA,M,,October,2014 October,False,3.36,13
118,2014.10.18,10/18/2014,2014,Unprovoked,USA,M,,October,2014 October,False,3.36,13
119,2014.10.03.b,10/3/2014,2014,,USA,M,,October,2014 October,False,3.36,13
120,2014.10.03.a,10/3/2014,2014,,USA,M,,October,2014 October,False,3.36,13
121,2014.10.02.b,10/2/2014,2014,Unprovoked,USA,M,28.0,October,2014 October,False,3.36,13
122,2014.10.31,10/31/2014,2014,Unprovoked,USA,F,34.0,October,2014 October,False,3.36,13
123,2014.10.22,10/22/2014,2014,Unprovoked,USA,F,,October,2014 October,False,3.36,13
124,2014.10.05.a,10/5/2014,2014,Unprovoked,USA,M,15.0,October,2014 October,False,3.36,13
125,2014.10.12,10/12/2014,2014,Unprovoked,USA,F,,October,2014 October,False,3.36,13
126,2014.10.07,10/7/2014,2014,Unprovoked,USA,F,40.0,October,2014 October,False,3.36,13
127,2014.10.19,10/19/2014,2014,,USA,F,,October,2014 October,False,3.36,13
128,2014.10.05.b,10/5/2014,2014,Unprovoked,USA,M,29.0,October,2014 October,False,3.36,13
129,2014.06.01.c,6/1/2014,2014,Unprovoked,USA,F,22.0,June,2014 June,False,1.89,4
130,2014.06.09.b,6/9/2014,2014,Unprovoked,USA,M,16.0,June,2014 June,False,1.89,4
131,2014.06.07,6/7/2014,2014,Unprovoked,USA,F,14.0,June,2014 June,False,1.89,4
132,2014.06.01.a,6/1/2014,2014,Unprovoked,USA,F,37.0,June,2014 June,False,1.89,4
133,2014.05.06,5/6/2014,2014,Unprovoked,USA,F,40.0,May,2014 May,False,2.37,6
