,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
557,2016.06.14,6/14/2016,2016,Unprovoked,USA,F,6.0,June,2016 June,False,1.56,9
558,2016.03.04,3/4/2016,2016,Unprovoked,USA,M,12.0,March,2016 March,False,2.46,5
559,2016.03.11,3/11/2016,2016,Unprovoked,USA,M,19.0,March,2016 March,False,2.46,5
560,2016.03.13,3/13/2016,2016,,USA,,,March,2016 March,False,2.46,5
561,2016.03.28.b,3/28/2016,2016,Unprovoked,USA,M,15.0,March,2016 March,False,2.46,5
562,2016.03.31,3/31/2016,2016,Unprovoked,USA,F,46.0,March,2016 March,False,2.46,5
563,2015.11.03,11/3/2015,2015,Unprovoked,USA,M,54.0,November,2015 November,False,0.36,6
564,2015.11.16,11/16/2015,2015,Unprovoked,USA,M,,November,2015 November,False,0.36,6
565,2015.12.23,11/7/2015,2015,,USA,F,9.0,November,2015 November,False,0.36,6
566,2015.11.15.b,11/15/2015,2015,Unprovoked,USA,F,,November,2015 November,False,0.36,6
567,2015.11.01.b,11/1/2015,2015,Unprovoked,USA,F,28.0,November,2015 November,False,0.36,6
568,2015.11.15.a,11/15/2015,2015,Unprovoked,USA,M,28.0,November,2015 November,False,0.36,6
569,2015.10.05.a,10/5/2015,2015,Unprovoked,USA,M,13.0,October,2015 October,False,3.68,11
570,2015.10.09.b,10/9/2015,2015,Unprovoked,USA,F,9.0,October,2015 October,False,3.68,11
571,2015.10.17.b,10/17/2015,2015,,USA,M,32.0,October,2015 October,False,3.68,11
572,2015.10.05.b,10/5/2015,2015,Unprovoked,USA,M,22.0,October,2015 October,False,3.68,11
573,2015.10.09.a,10/9/2015,2015,Unprovoked,USA,M,25.0,October,2015 October,False,3.68,11
574,2015.10.17.a,10/17/2015,2015,Unprovoked,USA,M,44.0,October,2015 October,False,3.68,11
575,2015.10.28.a,10/28/2015,2015,Unprovoked,USA,M,10.0,October,2015 October,False,3.68,11
576,2015.10.21,10/21/2015,2015,Unprovoked,USA,M,21.0,October,2015 October,False,3.68,11
577,2015.10.13,10/13/2015,2015,,USA,M,,October,2015 October,False,3.68,11
578,2015.10.19,10/19/2015,2015,Unprovoked,USA,M,21.0,October,2015 October,False,3.68,11
579,2015.10.04,10/4/2015,2015,Unprovoked,USA,M,14.0,October,2015 October,False,3.68,11
580,2015.09.05,9/5/2015,2015,Provoked,USA,M,29.0,September,2015 September,False,2.83,12
581,2015.09.20.a,9/20/2015,2015,Unprovoked,USA,M,16.0,September,2015 September,False,2.83,12
582,2015.09.20.c,9/20/2015,2015,Unprovoked,USA,M,27.0,September,2015 September,False,2.83,12
583,2015.09.06,9/6/2015,2015,Unprovoked,USA,F,50.0,September,2015 September,False,2.83,12
584,2015.09.03,9/3/2015,2015,Unprovoked,USA,M,,September,2015 September,False,2.83,12
585,2015.09.24,9/24/2015,2015,,USA,M,,September,2015 September,False,2.83,12
586,2015.09.20.b,9/20/2015,2015,Unprovoked,USA,M,12.0,September,2015 September,False,2.83,12
587,2015.09.18,9/18/2015,2015,Unprovoked,USA,M,,September,2015 September,False,2.83,12
588,2015.09.17,9/17/2015,2015,Unprovoked,USA,M,20.0,September,2015 September,False,2.83,12
589,2015.09.20.d,9/20/2015,2015,Unprovoked,USA,M,14.0,September,2015 September,False,2.83,12
590,2015.09.19,9/19/2015,2015,,USA,M,,September,2015 September,False,2.83,12
591,2015.09.29,9/29/2015,2015,Unprovoked,USA,M,22.0,September,2015 September,False,2.83,12
592,2015.04.13,4/13/2015,2015,Unprovoked,USA,M,48.0,April,2015 April,False,1.07,4
593,2015.04.26,4/26/2015,2015,Unprovoked,USA,M,63.0,April,2015 April,False,1.07,4
594,2015.04.03,4/3/2015,2015,Unprovoked,USA,M,70.0,April,2015 April,False,1.07,4
595,2015.04.29,4/29/2015,2015,Unprovoked,USA,F,65.0,April,2015 April,True,1.07,4
596,2014.12.28.b,12/28/2014,2014,Unprovoked,USA,M,50.0,December,2014 December,False,1.96,1
597,2014.07.03,7/3/2014,2014,Unprovoked,USA,M,19.0,July,2014 July,False,1.91,9
598,2014.07.09,7/9/2014,2014,Unprovoked,USA,M,14.0,July,2014 July,False,1.91,9
599,2014.07.12,7/12/2014,2014,Unprovoked,USA,M,,July,2014 July,False,1.91,9
600,2014.07.14,7/14/2014,2014,Unprovoked,USA,M,39.0,July,2014 July,False,1.91,9
601,2014.07.05.b,7/5/2014,2014,Provoked,USA,M,,July,2014 July,False,1.91,9
602,2014.07.16,7/16/2014,2014,Unprovoked,USA,M,61.0,July,2014 July,False,1.91,9
603,2014.07.05.a,7/5/2014,2014,Unprovoked,USA,M,,July,2014 July,False,1.91,9
604,2014.07.27,7/27/2014,2014,Unprovoked,USA,M,15.0,July,2014 July,False,1.91,9
605,2014.07.21,7/21/2014,2014,Unprovoked,USA,M,8.0,July,2014 July,False,1.91,9
606,2013.12.02,12/2/2013,2013,Unprovoked,USA,M,57.0,December,2013 December,True,-0.5,3
607,2013.12.10,12/10/2013,2013,Unprovoked,USA,M,30.0,December,2013 December,False,-0.5,3
608,2013.12.11,12/11/2013,2013,Unprovoked,USA,M,29.0,December,2013 December,False,-0.5,3
609,2013.11.07.a,11/7/2013,2013,Unprovoked,USA,M,,November,2013 November,False,-0.73,4
610,2013.11.29,11/29/2013,2013,Unprovoked,USA,F,58.0,November,2013 November,False,-0.73,4
611,2013.11.22,11/22/2013,2013,Unprovoked,USA,M,25.0,November,2013 November,False,-0.73,4
612,2013.11.07.b,11/7/2013,2013,Unprovoked,USA,M,16.0,November,2013 November,False,-0.73,4
613,2013.10.31,10/31/2013,2013,Unprovoked,USA,M,46.0,October,2013 October,False,1.23,6
614,2013.10.20,10/20/2013,2013,Unprovoked,USA,M,25.0,October,2013 October,False,1.23,6
615,2013.10.05,10/10/2013,2013,Unprovoked,USA,M,12.0,October,2013 October,False,1.23,6
616,2013.10.23,10/23/2013,2013,Unprovoked,USA,M,45.0,October,2013 October,False,1.23,6
617,2013.10.19,10/19/2013,2013,Unprovoked,USA,M,6.0,October,2013 October,False,1.23,6
618,2013.10.05,10/6/2013,2013,Unprovoked,USA,M,45.0,October,2013 October,False,1.23,6
619,2013.04.13.b,4/13/2013,2013,Unprovoked,USA,M,21.0,April,2013 April,False,0.12,4
620,2013.04.02.a,4/2/2013,2013,Unprovoked,USA,M,58.0,April,2013 April,False,0.12,4
621,2013.04.17,4/17/2013,2013,Unprovoked,USA,M,9.0,April,2013 April,False,0.12,4
622,2013.04.04,4/4/2013,2013,Unprovoked,USA,M,50.0,April,2013 April,False,0.12,4
623,2012.12.05,12/5/2012,2012,Unprovoked,USA,M,60.0,December,2012 December,False,2.01,2
624,2012.12.31,12/31/2012,2012,Unprovoked,USA,M,,December,2012 December,False,2.01,2
625,2012.05.06,5/6/2012,2012,Unprovoked,USA,F,15.0,May,2012 May,False,0.85,6
626,2012.05.31,5/31/2012,2012,Unprovoked,USA,F,33.0,May,2012 May,False,0.85,6
627,2012.05.20,5/20/2012,2012,,USA,M,,May,2012 May,False,0.85,6
628,2012.05.23,5/23/2012,2012,Unprovoked,USA,M,22.0,May,2012 May,False,0.85,6
629,2012.05.09,5/9/2012,2012,Unprovoked,USA,F,47.0,May,2012 May,False,0.85,6
630,2012.05.12,5/12/2012,2012,,USA,M,30.0,May,2012 May,False,0.85,6
631,2011.12.21.b,12/21/2011,2011,Provoked,USA,M,,December,2011 December,False,-0.66,4
632,2011.12.31,12/31/2011,2011,Unprovoked,USA,M,,December,2011 December,False,-0.66,4
633,2011.12.06,12/6/2011,2011,Unprovoked,USA,F,,December,2011 December,False,-0.66,4
634,2011.12.23,12/23/2011,2011,Unprovoked,USA,M,27.0,December,2011 December,False,-0.66,4
635,2011.11.22,11/22/2011,2011,,USA,M,,November,2011 November,False,-0.04,1
636,2011.08.28.a,8/28/2011,2011,Unprovoked,USA,F,39.0,August,2011 August,False,0.75,7
637,2011.08.24.b,8/24/2011,2011,Unprovoked,USA,M,21.0,August,2011 August,False,0.75,7
638,2011.08.17.b.,8/17/2011,2011,,USA,M,12.0,August,2011 August,False,0.75,7
639,2011.08.15,8/15/2011,2011,,USA,M,7.0,August,2011 August,False,0.75,7
640,2011.08.24.a,8/24/2011,2011,Unprovoked,USA,M,10.0,August,2011 August,False,0.75,7
641,2011.08.17.c.,8/17/2011,2011,Unprovoked,USA,F,25.0,August,2011 August,False,0.75,7
642,2011.08.31,8/31/2011,2011,Unprovoked,USA,M,19.0,August,2011 August,False,0.75,7
643,2011.06.21,6/21/2011,2011,Unprovoked,USA,M,20.0,June,2011 June,False,1.77,6
644,2011.06.26,6/26/2008,2011,Unprovoked,USA,F,10.0,June,2011 June,False,1.77,6
645,2011.06.12,6/12/2011,2011,Unprovoked,USA,M,28.0,June,2011 June,False,1.77,6
646,2011.06.24,6/24/2011,2011,Unprovoked,USA,M,,June,2011 June,False,1.77,6
647,2011.06.06.b,6/6/2011,2011,Unprovoked,USA,M,28.0,June,2011 June,False,1.77,6
648,2011.06.06.a,6/6/2011,2011,Unprovoked,USA,M,19.0,June,2011 June,False,1.77,6
649,2010.10.22,10/22/2010,2010,Unprovoked,USA,M,19.0,October,2010 October,True,0.98,3
650,2010.10.28,10/28/2010,2010,Unprovoked,USA,M,,October,2010 October,False,0.98,3
651,2010.10.23.b,10/23/2010,2010,Unprovoked,USA,M,30.0,October,2010 October,False,0.98,3
652,2010.01.06,1/6/2010,2010,Unprovoked,USA,M,32.0,January,2010 January,False,2.32,1
653,2009.10.19,10/19/2009,2009,Unprovoked,USA,M,54.0,October,2009 October,False,2.24,3
654,2009.10.24,10/24/2009,2009,Unprovoked,USA,M,,October,2009 October,False,2.24,3
655,2009.10.09,10/9/2009,2009,Unprovoked,USA,M,,October,2009 October,False,2.24,3
656,2009.04.19,4/19/2009,2009,Unprovoked,USA,M,52.0,April,2009 April,False,-0.06,8
657,2009.04.03,4/3/2009,2009,Unprovoked,USA,M,15.0,April,2009 April,False,-0.06,8
658,2009.04.17.,4/17/2009,2009,Unprovoked,USA,M,31.0,April,2009 April,False,-0.06,8
659,2009.04.28,4/28/2009,2009,Unprovoked,USA,F,,April,2009 April,False,-0.06,8
660,2009.04.11,4/11/2009,2009,,USA,M,49.0,April,2009 April,False,-0.06,8
661,2009.04.06.a,4/6/2009,2009,Unprovoked,USA,M,,April,2009 April,False,-0.06,8
662,2009.04.21,4/21/2009,2009,Unprovoked,USA,M,20.0,April,2009 April,False,-0.06,8
663,2009.04.25.R,4/25/2009,2009,Unprovoked,USA,M,,April,2009 April,False,-0.06,8
664,2008.07.26.a,7/26/2008,2008,Unprovoked,USA,M,,July,2008 July,False,1.98,11
665,2008.07.13,7/13/2008,2008,,USA,M,52.0,July,2008 July,False,1.98,11
666,2008.07.05,7/5/2008,2008,Unprovoked,USA,F,17.0,July,2008 July,False,1.98,11
667,2008.07.19,7/19/2008,2008,Unprovoked,USA,M,16.0,July,2008 July,False,1.98,11
668,2008.07.25.b,7/25/2008,2008,Unprovoked,USA,M,17.0,July,2008 July,False,1.98,11
669,2008.07.24.b,7/24/2008,2008,Unprovoked,USA,M,9.0,July,2008 July,False,1.98,11
670,2008.07.09,7/9/2008,2008,Unprovoked,USA,F,14.0,July,2008 July,False,1.98,11
671,2008.07.11,7/11/2008,2008,Unprovoked,USA,M,24.0,July,2008 July,False,1.98,11
672,2008.07.24.a,7/24/2008,2008,Unprovoked,USA,F,8.0,July,2008 July,False,1.98,11
673,2008.07.25.a,7/25/2008,2008,Unprovoked,USA,F,44.0,July,2008 July,False,1.98,11
674,2008.07.23,7/23/2008,2008,Provoked,USA,M,15.0,July,2008 July,False,1.98,11
675,2008.06.28.c,6/28/2008,2008,,USA,M,53.0,June,2008 June,False,0.7,7
676,2008.06.20,6/20/2008,2008,Unprovoked,USA,F,35.0,June,2008 June,False,0.7,7
677,2008.06.01.b,6/1/2008,2008,Unprovoked,USA,F,15.0,June,2008 June,False,0.7,7
678,2008.06.26.b,6/26/2008,2008,Unprovoked,USA,M,29.0,June,2008 June,False,0.7,7
679,2008.06.07,6/7/2008,2008,Unprovoked,USA,M,40.0,June,2008 June,False,0.7,7
680,2008.06.21,6/21/2008,2008,,USA,F,40.0,June,2008 June,False,0.7,7
681,2008.06.26.a,6/26/2008,2008,Unprovoked,USA,M,37.0,June,2008 June,False,0.7,7
682,2008.04.28.a,4/28/2008,2008,Unprovoked,USA,M,18.0,April,2008 April,False,0.36,8
683,2008.04.26.a,4/26/2008,2008,Provoked,USA,M,21.0,April,2008 April,False,0.36,8
684,2008.04.20.b,4/20/2008,2008,Unprovoked,USA,F,14.0,April,2008 April,False,0.36,8
685,2008.04.08.R,4/8/2008,2008,Unprovoked,USA,,,April,2008 April,False,0.36,8
686,2008.04.25,4/25/2008,2008,Unprovoked,USA,M,66.0,April,2008 April,True,0.36,8
687,2008.04.27,4/27/2008,2008,Unprovoked,USA,M,24.0,April,2008 April,False,0.36,8
688,2008.04.03,4/3/2008,2008,Unprovoked,USA,M,18.0,April,2008 April,False,0.36,8
689,2008.04.15,4/15/2008,2008,Unprovoked,USA,M,30.0,April,2008 April,False,0.36,8
690,2007.06.30.a,6/30/2007,2007,Unprovoked,USA,F,,June,2007 June,False,0.22,6
691,2007.06.30.b,6/30/2007,2007,Provoked,USA,M,,June,2007 June,False,0.22,6
692,2007.06.17,6/17/2007,2007,,USA,F,9.0,June,2007 June,False,0.22,6
693,2007.06.24,6/24/2007,2007,Unprovoked,USA,M,,June,2007 June,False,0.22,6
694,2007.06.25,6/25/2007,2007,Unprovoked,USA,M,20.0,June,2007 June,False,0.22,6
695,2007.06.12,6/12/2007,2007,Unprovoked,USA,F,,June,2007 June,False,0.22,6
696,2007.05.10,5/10/2007,2007,Unprovoked,USA,F,21.0,May,2007 May,False,-0.17,5
697,2007.05.07.b,5/7/2007,2007,Unprovoked,USA,F,63.0,May,2007 May,False,-0.17,5
698,2007.05.07.a,5/7/2007,2007,Unprovoked,USA,M,68.0,May,2007 May,False,-0.17,5
699,2007.05.24,5/24/2007,2007,Provoked,USA,F,40.0,May,2007 May,False,-0.17,5
700,2007.05.26,5/26/2007,2007,Unprovoked,USA,F,,May,2007 May,False,-0.17,5
701,2007.03.31.a,3/31/2007,2007,Unprovoked,USA,M,9.0,March,2007 March,False,-0.53,5
702,2007.03.21,3/21/2007,2007,Unprovoked,USA,M,11.0,March,2007 March,False,-0.53,5
703,2007.03.14.R,3/14/2007,2007,Provoked,USA,M,,March,2007 March,False,-0.53,5
704,2007.03.11,3/11/2007,2007,Unprovoked,USA,M,29.0,March,2007 March,False,-0.53,5
705,2007.03.31.b,3/31/2007,2007,Unprovoked,USA,M,27.0,March,2007 March,False,-0.53,5
706,2007.01.07,1/7/2007,2007,,USA,M,54.0,January,2007 January,False,-0.28,3
707,2007.01.05,1/1/2007,2007,Unprovoked,USA,M,24.0,January,2007 January,False,-0.28,3
708,2007.01.25.a,1/25/2007,2007,,USA,,,January,2007 January,False,-0.28,3
709,2006.12.10,12/10/2006,2006,Unprovoked,USA,M,43.0,December,2006 December,False,0.68,1
710,2006.09.02,9/2/2006,2006,Unprovoked,USA,M,12.5,September,2006 September,False,-0.21,7
711,2006.09.03.a,9/3/2006,2006,Unprovoked,USA,M,33.0,September,2006 September,False,-0.21,7
712,2006.09.16,9/16/2006,2006,Unprovoked,USA,M,16.0,September,2006 September,False,-0.21,7
713,2006.09.14,9/14/2006,2006,Unprovoked,USA,M,55.0,September,2006 September,False,-0.21,7
714,2006.09.29,9/29/2006,2006,Unprovoked,USA,M,19.0,September,2006 September,False,-0.21,7
715,2006.09.18.R,9/18/2006,2006,Provoked,USA,M,,September,2006 September,False,-0.21,7
716,2006.09.11,9/11/2006,2006,Unprovoked,USA,M,52.0,September,2006 September,False,-0.21,7
717,2005.06.05,6/5/2005,2005,,USA,M,17.0,June,2005 June,False,0.72,7
718,2005.06.27,6/27/2005,2005,Unprovoked,USA,M,16.0,June,2005 June,False,0.72,7
719,2005.06.25,6/25/2005,2005,Unprovoked,USA,F,14.0,June,2005 June,True,0.72,7
720,2005.06.18,6/18/2005,2005,,USA,M,49.0,June,2005 June,False,0.72,7
721,2005.06.02,6/2/2005,2005,Unprovoked,USA,M,6.0,June,2005 June,False,0.72,7
722,2005.06.16,6/16/2005,2005,Unprovoked,USA,M,20.0,June,2005 June,False,0.72,7
723,2005.06.07,6/7/2005,2005,Unprovoked,USA,F,11.0,June,2005 June,False,0.72,7
724,2005.05.28,5/28/2005,2005,Unprovoked,USA,M,33.0,May,2005 May,False,2.37,5
725,2005.05.02,5/2/2005,2005,Unprovoked,USA,M,47.0,May,2005 May,False,2.37,5
726,2005.05.27,5/27/2005,2005,Unprovoked,USA,F,,May,2005 May,False,2.37,5
727,2005.05.02.R,5/2/2005,2005,,USA,M,15.0,May,2005 May,False,2.37,5
728,2005.05.14,5/14/2005,2005,,USA,,,May,2005 May,False,2.37,5
729,2003.09.13.b,9/13/2003,2003,Unprovoked,USA,M,18.0,September,2003 September,False,0.35,9
730,2003.09.21,9/21/2003,2003,Unprovoked,USA,M,21.0,September,2003 September,False,0.35,9
731,2003.09.28,9/28/2003,2003,Unprovoked,USA,M,16.0,September,2003 September,False,0.35,9
732,2003.09.14.a,9/14/2003,2003,,USA,F,9.0,September,2003 September,False,0.35,9
733,2003.09.19,9/19/2003,2003,Unprovoked,USA,M,19.0,September,2003 September,False,0.35,9
734,2003.09.14.c,9/14/2003,2003,Unprovoked,USA,M,30.0,September,2003 September,False,0.35,9
735,2003.09.17,9/17/2003,2003,Unprovoked,USA,M,17.0,September,2003 September,False,0.35,9
736,2003.09.13.a,9/13/2003,2003,Unprovoked,USA,M,15.0,September,2003 September,False,0.35,9
737,2003.09.00,9/1/2003,2003,Unprovoked,USA,M,,September,2003 September,False,0.35,9
738,2003.05.10,5/10/2003,2003,Unprovoked,USA,M,20.0,May,2003 May,False,0.25,5
739,2003.05.25,5/25/2003,2003,Unprovoked,USA,M,18.0,May,2003 May,False,0.25,5
740,2003.05.14,5/14/2003,2003,Unprovoked,USA,M,22.0,May,2003 May,False,0.25,5
741,2003.05.07,5/7/2003,2003,Provoked,USA,M,34.0,May,2003 May,False,0.25,5
742,2003.05.03,5/3/2003,2003,Unprovoked,USA,F,9.0,May,2003 May,False,0.25,5
743,2003.04.21.a,4/21/2003,2003,Unprovoked,USA,M,17.0,April,2003 April,False,0.82,10
744,2003.04.20.a,4/20/2003,2003,Unprovoked,USA,M,18.0,April,2003 April,False,0.82,10
745,2003.04.19,4/19/2003,2003,Unprovoked,USA,M,11.0,April,2003 April,False,0.82,10
746,2003.04.21.b,4/21/2003,2003,Unprovoked,USA,M,36.0,April,2003 April,False,0.82,10
747,2003.04.04,4/4/2003,2003,Unprovoked,USA,M,50.0,April,2003 April,False,0.82,10
748,2003.04.15,4/15/2003,2003,Unprovoked,USA,M,20.0,April,2003 April,False,0.82,10
749,2003.04.09,4/9/2003,2003,Unprovoked,USA,M,,April,2003 April,False,0.82,10
750,2003.04.20.c,4/20/2003,2003,Unprovoked,USA,M,30.0,April,2003 April,False,0.82,10
751,2003.04.20.b,4/20/2003,2003,Unprovoked,USA,M,23.0,April,2003 April,False,0.82,10
752,2003.04.18,4/18/2003,2003,Unprovoked,USA,M,12.0,April,2003 April,False,0.82,10
753,2003.02.15.a,2/15/2003,2003,Unprovoked,USA,M,54.0,February,2003 February,False,-0.6,1
754,2001.11.14,11/14/2001,2001,Unprovoked,USA,,,November,2001 November,False,0.43,1
755,2001.04.12.d,4/12/2001,2001,Unprovoked,USA,M,38.0,April,2001 April,False,-0.67,13
756,2001.04.12.b,4/12/2001,2001,Unprovoked,USA,M,12.0,April,2001 April,False,-0.67,13
757,2001.04.11.c,4/11/2001,2001,Unprovoked,USA,M,22.0,April,2001 April,False,-0.67,13
758,2001.04.13.b,4/13/2001,2001,Unprovoked,USA,M,16.0,April,2001 April,False,-0.67,13
759,2001.04.11.a,4/11/2001,2001,Unprovoked,USA,M,,April,2001 April,False,-0.67,13
760,2001.04.05,4/5/2001,2001,Unprovoked,USA,M,26.0,April,2001 April,False,-0.67,13
761,2001.04.28,4/28/2001,2001,Unprovoked,USA,M,14.0,April,2001 April,False,-0.67,13
762,2001.04.12.e,4/12/2001,2001,Unprovoked,USA,M,35.0,April,2001 April,False,-0.67,13
763,2001.04.11.d,4/11/2001,2001,Unprovoked,USA,M,19.0,April,2001 April,False,-0.67,13
764,2001.04.12.c,4/12/2001,2001,Unprovoked,USA,M,21.0,April,2001 April,False,-0.67,13
765,2001.04.13.a,4/13/2001,2001,Unprovoked,USA,M,12.0,April,2001 April,False,-0.67,13
766,2001.04.12.a,4/12/2001,2001,Unprovoked,USA,M,22.0,April,2001 April,False,-0.67,13
767,2001.04.10,4/10/2001,2001,Unprovoked,USA,,16.0,April,2001 April,False,-0.67,13
768,2000.07.02.a,7/2/2000,2000,Unprovoked,USA,F,19.0,July,2000 July,False,0.59,12
769,2000.07.25,7/25/2000,2000,Unprovoked,USA,M,5.0,July,2000 July,False,0.59,12
770,2000.07.07,7/7/2000,2000,Unprovoked,USA,M,5.0,July,2000 July,False,0.59,12
771,2000.07.17,7/17/2000,2000,Unprovoked,USA,M,16.0,July,2000 July,False,0.59,12
772,2000.07.06,7/6/2000,2000,Unprovoked,USA,F,12.0,July,2000 July,False,0.59,12
773,2000.07.04.b,7/4/2000,2000,Unprovoked,USA,F,20.0,July,2000 July,False,0.59,12
774,2000.07.04.a,7/4/2000,2000,Unprovoked,USA,F,55.0,July,2000 July,False,0.59,12
775,2000.07.10,7/10/2000,2000,Unprovoked,USA,M,13.0,July,2000 July,False,0.59,12
776,2000.07.02.b,7/2/2000,2000,Unprovoked,USA,F,13.0,July,2000 July,False,0.59,12
777,2000.07.22,7/22/2000,2000,Unprovoked,USA,F,45.0,July,2000 July,False,0.59,12
778,2000.07.16.b,7/16/2000,2000,Unprovoked,USA,M,14.0,July,2000 July,False,0.59,12
779,2000.07.09,7/9/2000,2000,Unprovoked,USA,M,41.0,July,2000 July,False,0.59,12
780,1999.06.17,6/17/1999,1999,Unprovoked,USA,M,21.0,June,1999 June,False,0.09,4
781,1999.06.12,6/12/1999,1999,Unprovoked,USA,M,41.0,June,1999 June,False,0.09,4
782,1999.06.19,6/19/1999,1999,Unprovoked,USA,M,20.0,June,1999 June,False,0.09,4
783,1999.06.09,6/9/1999,1999,Unprovoked,USA,M,5.0,June,1999 June,False,0.09,4
784,1998.10.24,10/24/1998,1998,Unprovoked,USA,F,17.0,October,1998 October,False,-0.48,3
785,1998.10.01.a,10/1/1998,1998,Unprovoked,USA,M,28.0,October,1998 October,False,-0.48,3
786,1998.10.10,10/10/1998,1998,Unprovoked,USA,M,,October,1998 October,False,-0.48,3
787,1998.06.08,6/8/1998,1998,Unprovoked,USA,M,18.0,June,1998 June,False,0.65,1
788,1997.12.25.b,12/25/1997,1997,,USA,F,29.0,December,1997 December,False,0.98,2
789,1997.12.25.a,12/25/1997,1997,Unprovoked,USA,M,8.0,December,1997 December,False,0.98,2
790,1997.02.21,2/21/1997,1997,Unprovoked,USA,M,,February,1997 February,False,0.54,1
791,1996.02.19.R,2/19/1996,1996,Provoked,USA,F,32.0,February,1996 February,False,0.71,1
792,1995.05.26,5/26/1995,1995,Unprovoked,USA,M,15.0,May,1995 May,False,0.35,1
793,1994.09.26,9/26/1994,1994,Unprovoked,USA,F,30.0,September,1994 September,False,0.18,4
794,1994.09.21,9/21/1994,1994,Unprovoked,USA,M,43.0,September,1994 September,False,0.18,4
795,1994.09.11.R,9/11/1994,1994,,USA,M,,September,1994 September,True,0.18,4
796,1994.09.05,9/5/1994,1994,Unprovoked,USA,F,12.0,September,1994 September,False,0.18,4
797,1994.01.31.a,1/31/1994,1994,Unprovoked,USA,M,,January,1994 January,True,-0.48,2
798,1994.00.00.a,1/1/1994,1994,Unprovoked,USA,M,,January,1994 January,False,-0.48,2
799,1993.12.00,12/1/1993,1993,Unprovoked,USA,M,,December,1993 December,True,0.2,1
800,1993.10.26,10/26/1993,1993,Unprovoked,USA,F,26.0,October,1993 October,False,0.38,4
801,1993.10.30,10/30/1993,1993,Unprovoked,USA,M,26.0,October,1993 October,False,0.38,4
802,1993.10.00,10/1/1993,1993,Unprovoked,USA,,,October,1993 October,False,0.38,4
803,1993.10.10,10/10/1993,1993,,USA,F,34.0,October,1993 October,False,0.38,4
804,1991.12.04,12/4/1991,1991,Unprovoked,USA,M,25.0,December,1991 December,False,0.1,1
805,1991.07.00,7/1/1991,1991,Unprovoked,USA,M,13.0,July,1991 July,False,0.21,6
806,1991.07.27,7/27/1991,1991,Unprovoked,USA,M,39.0,July,1991 July,False,0.21,6
807,1991.07.01.a,7/1/1991,1991,Unprovoked,USA,M,32.0,July,1991 July,False,0.21,6
808,1991.07.17,7/17/1991,1991,,USA,M,70.0,July,1991 July,False,0.21,6
809,1991.07.07,7/7/1991,1991,Unprovoked,USA,M,22.0,July,1991 July,False,0.21,6
810,1991.07.18,7/18/1991,1991,Unprovoked,USA,M,42.0,July,1991 July,False,0.21,6
811,1991.02.24,2/24/1991,1991,Unprovoked,USA,M,38.0,February,1991 February,False,0.41,1
812,1989.12.19,12/19/1989,1989,Provoked,USA,M,,December,1989 December,False,-1.31,1
813,1989.06.29,6/29/1989,1989,Unprovoked,USA,M,,June,1989 June,False,-0.25,2
814,1989.06.17,6/17/1989,1989,Unprovoked,USA,M,45.0,June,1989 June,False,-0.25,2
815,1988.04.14.b,4/14/1988,1988,Unprovoked,USA,M,14.0,April,1988 April,False,0.32,5
816,1988.04.15a,4/15/1988,1988,Unprovoked,USA,M,24.0,April,1988 April,False,0.32,5
817,1988.04.15.b,4/15/1988,1988,,USA,M,,April,1988 April,False,0.32,5
818,1988.04.24,4/24/1988,1988,Unprovoked,USA,M,,April,1988 April,False,0.32,5
819,1988.04.14.a,4/14/1988,1988,Unprovoked,USA,M,,April,1988 April,False,0.32,5
820,1987.04.18,4/18/1987,1987,Unprovoked,USA,F,16.0,April,1987 April,False,0.12,2
821,1987.04.15,4/15/1987,1987,Unprovoked,USA,M,,April,1987 April,True,0.12,2
822,1986.01.12,1/12/1986,1986,Unprovoked,USA,M,22.0,January,1986 January,False,0.25,2
823,1986.00.00,1/1/1986,1986,Unprovoked,USA,M,16.0,January,1986 January,False,0.25,2
824,1985.12.10,12/10/1985,1985,Unprovoked,USA,M,,December,1985 December,False,-0.49,1
825,1984.11.11,11/11/1984,1984,Unprovoked,USA,M,13.0,November,1984 November,False,0.94,2
826,1984.11.04,11/4/1984,1984,Provoked,USA,M,29.0,November,1984 November,False,0.94,2
827,1980.10.27,10/27/1980,1980,Unprovoked,USA,M,29.0,October,1980 October,False,-0.7,2
828,1980.10.17,10/17/1980,1980,Unprovoked,USA,M,19.0,October,1980 October,False,-0.7,2
829,1980.08.04,8/4/1980,1980,Unprovoked,USA,M,,August,1980 August,False,-0.22,3
830,1980.08.03.R,8/3/1980,1980,Unprovoked,USA,M,,August,1980 August,False,-0.22,3
831,1980.08.10,8/10/1980,1980,Unprovoked,USA,F,10.0,August,1980 August,False,-0.22,3
832,1979.08.05,8/5/1979,1979,Unprovoked,USA,M,49.0,August,1979 August,False,-0.21,1
833,1978.00.00.b,1/1/1978,1978,Unprovoked,USA,F,,January,1978 January,False,0.52,1
834,1977.12.19.b,12/19/1977,1977,Unprovoked,USA,M,27.0,December,1977 December,False,0.97,2
835,1977.12.31,12/31/1977,1977,,USA,M,49.0,December,1977 December,False,0.97,2
836,1976.09.12.a,9/12/1976,1976,Unprovoked,USA,M,,September,1976 September,True,0.6,3
837,1976.09.12.b,9/12/1976,1976,Unprovoked,USA,M,16.0,September,1976 September,True,0.6,3
